# raw capture of: cargo test --lib probe_filed_interest_sign -- --ignored --nocapture
# worktree: G:/dev/repos/discount_screener/.claude/worktrees/agent-a19c1b1e4036e2768
# branch content: valuation/wave1-integration @ 4d1e916
# pre-existing cargo build warnings from unrelated modules elided above this line; nothing else edited.

running 1 test
=== PROBE D: the filed sign of net interest, before negation or abs() ===
retrieved 2026-08-04T19:34:19.733199600+00:00
negated by the proposed convention: InterestIncomeExpenseNet InterestIncomeExpenseNonoperatingNet
today = |filed| (dcf_model.rs:907 abs on write, :551 and :1590 abs on read)
after = -filed for a negated concept, filed otherwise, with those three sites gone
dFCFF = (after - today) * (1 - tax), the FCFF bridge at dcf_model.rs:1591
dmgn  = the shift in AlignedDriverYear::fcff_margin_bps, the published quantity
prod  = FcfPoint::interest_expense_dollars, the live post-abs value; '!' marks a
         disagreement with |filed| and would mean this reconstruction is wrong

symbol   year winning qname                                    filed $M  sign  neg     today $M     after $M      prod $M       debt $M    tax  guard     dFCFF $M  dmgn bps
DVN      2007 InterestAndDebtExpense                              430.0     +   no        430.0        430.0       430.0        absent   2531      -          0.0         0
DVN      2008 InterestExpenseDebt                                 426.0     +   no        426.0        426.0       426.0        absent   2695      -          0.0         0
DVN      2009 InterestExpenseDebt                                 437.0     +   no        437.0        437.0       437.0        7279.0   3500      -          0.0         0
DVN      2010 InterestExpenseDebt                                 408.0     +   no        408.0        408.0       408.0        5630.0   3461      -          0.0         0
DVN      2011 InterestExpenseDebt                                 414.0     +   no        414.0        414.0       414.0        9780.0   3500      -          0.0         0
DVN      2012 InterestExpenseDebt                                 440.0     +   no        440.0        440.0       440.0       11644.0   3500      -          0.0         0
DVN      2013 InterestExpenseDebt                                 466.0     +   no        466.0        466.0      absent        absent      -      -    no bridge         -
DVN      2014 InterestExpenseDebt                                 532.0     +   no        532.0        532.0      absent        absent      -      -    no bridge         -
DVN      2015 InterestExpenseDebt                                 565.0     +   no        565.0        565.0      absent        absent      -      -    no bridge         -
DVN      2016 InterestExpenseDebt                                 488.0     +   no        488.0        488.0      absent        absent      -      -    no bridge         -
DVN      2017 InterestExpenseDebt                                 337.0     +   no        337.0        337.0      absent        absent      -      -    no bridge         -
DVN      2018 InterestExpenseDebt                                 287.0     +   no        287.0        287.0       287.0        5947.0   2436      -          0.0         0
DVN      2019 InterestExpenseDebt                                 260.0     +   no        260.0        260.0       260.0        4294.0   2752      -          0.0         0
