symbol,qualified,sector,fundamentals,technical,forecast,market,regime_status,composite_base,composite_final,coverage,beta_millis,forward_pe_hundredths,ev_ebitda_hundredths,price_to_book_hundredths,return_on_equity_bps,close_cents,ema20_cents,ema50_cents,ema200_cents
"WFC",0,"Financial Services",54,39,32,44,"Included",50,56,4,920,1108,,165,1258,8752,8684,8507,8338
"SNDK",1,"Technology",40,-6,74,43,"Included",46,53,4,,467,1424,1330,9164,123792,138804,149027,102152
"NEM",0,"Basic Materials",41,62,26,17,"Included",53,52,4,500,1110,705,352,2591,11726,9987,9998,10035
"AIZ",0,"Financial Services",55,50,9,33,"Included",48,52,4,543,1240,826,233,1834,28722,28243,27146,24426
"HIG",0,"Financial Services",60,37,13,39,"Included",47,52,4,458,1030,698,199,2206,14115,14127,13826,13513
"GL",0,"Financial Services",53,47,11,30,"Included",47,50,4,472,1109,1015,229,2094,18326,18113,17449,15598
"PNC",0,"Financial Services",29,50,31,32,"Included",45,49,4,898,1179,,175,1262,25176,25081,24378,22298
"INCY",0,"Healthcare",52,58,-6,32,"Included",45,49,4,769,1369,1037,385,3067,12155,11892,11331,10180
"COF",0,"Financial Services",39,30,40,33,"Included",44,48,4,1016,910,,130,903,21897,21173,20446,20411
"MCK",0,"Healthcare",5,55,39,34,"Included",43,48,4,307,1741,1586,,,87987,84618,82221,81015
"CVX",0,"Energy",25,44,34,28,"Included",44,48,4,488,1503,822,201,1223,19491,18856,18577,17823
"COP",0,"Energy",25,46,32,24,"Included",44,47,4,123,1360,610,226,1418,12303,11674,11542,11040
"CINF",0,"Financial Services",56,25,3,43,"Included",38,47,4,554,1925,588,160,2148,17386,17849,17604,16693
"BAC",0,"Financial Services",51,50,33,15,"Included",50,47,4,1168,1206,,162,1120,6386,6180,5916,5420
"ALL",0,"Financial Services",62,43,-9,32,"Included",42,47,4,156,996,420,216,4611,26967,26057,24655,22268
"TRV",0,"Financial Services",59,55,-21,36,"Included",41,47,4,457,1243,717,237,2651,37562,37098,34817,31042
"OMC",0,"Communication Services",38,40,18,26,"Included",42,46,4,660,703,877,220,605,8465,8138,7928,7708
"FANG",0,"Energy",27,23,43,31,"Included",41,46,4,419,1108,628,147,349,19897,19370,19222,17812
"HAS",0,"Consumer Cyclical",7,49,42,24,"Included",43,46,4,468,1449,1219,1893,15956,9449,8990,8789,8703
"USB",0,"Financial Services",30,53,27,23,"Included",44,46,4,977,1109,,165,1262,6419,6330,6121,5575
"CAH",0,"Healthcare",10,58,22,33,"Included",40,46,4,521,1968,1520,,,23718,23228,22616,20779
"VLO",0,"Energy",48,55,-2,21,"Included",44,46,4,554,1136,728,392,2764,31495,30082,28313,23206
"HAL",1,"Energy",41,-5,43,39,"Included",36,45,4,753,1157,827,255,1492,3364,3296,3465,3344
"CVS",0,"Healthcare",21,12,42,44,"Included",35,45,4,596,1129,1109,153,621,9567,10259,10058,8754
"ACGL",0,"Financial Services",35,27,20,39,"Included",37,45,4,288,1006,612,144,1994,9825,10018,9858,9541
