symbol,qualified,sector,fundamentals,technical,forecast,market,regime_status,composite_base,composite_final,coverage,beta_millis,forward_pe_hundredths,ev_ebitda_hundredths,price_to_book_hundredths,return_on_equity_bps,close_cents,ema20_cents,ema50_cents,ema200_cents,stance,t_quality,w_quality,t_lowbeta,w_lowbeta,t_value,w_value,t_oversoldqual,w_oversoldqual,t_extension,w_extension,t_trend,w_trend,t_defensive,w_defensive,t_growth,w_growth,t_liquidity,w_liquidity,industry,fcf_yield_bps
"CAH",0,"Healthcare",31,50,39,30,"Included",47,47,4,521,1631,1383,,,22951,23284,22840,20929,"HoldTrim",0.8959967814331811,0.5,1.0,0.4,0.25881834215167543,0.3,-0.01966630778954903,0.1,-0.06699412953236752,0.8,0.5999999999999999,0.3,0.8,0.3,,,0.8266666666666667,0.3,"Medical Distribution",890
"HAS",0,"Consumer Cyclical",35,50,31,24,"Included",43,45,4,468,1433,1209,1874,15956,9354,9274,9000,8804,"HoldTrim",0.35798731022083025,0.5,1.0,0.4,-0.014403292181070072,0.3,-0.32276293456618244,0.1,-0.2724596876273623,0.8,1.0,0.3,,,0.7,0.2,0.9147911950289824,0.3,"Leisure",522
"MCK",0,"Healthcare",27,50,29,35,"Included",37,44,4,307,1699,1552,,,85890,85562,83482,81618,"HoldTrim",0.8268696506213331,0.5,1.0,0.4,0.09670781893004113,0.3,-0.1888270224343691,0.1,-0.11962059154811608,0.8,1.0,0.3,0.8,0.3,,,1.0,0.3,"Medical Distribution",679
"LMT",0,"Industrials",35,49,-19,36,"Included",39,44,4,110,1723,1517,1478,8917,56357,58010,56213,54397,"HoldTrim",0.29685270074416387,0.5,1.0,0.4,-0.2569272976680385,0.3,0.3125252720164229,0.1,0.14426287802436427,0.8,0.5999999999999999,0.3,,,,,1.0,0.3,"Aerospace & Defense",428
"PCG",1,"Utilities",-7,39,26,36,"Included",32,41,4,278,976,998,120,932,1760,1753,1733,1680,"HoldTrim",-0.6954248366013072,0.5,1.0,0.4,0.926317852243778,0.3,,,-0.14404622488856803,0.8,1.0,0.3,0.8,0.3,,,1.0,0.3,"Utilities - Regulated Electric",-1587
"GL",0,"Financial Services",30,35,9,26,"Included",38,40,4,472,1036,959,214,2094,17108,17799,17507,15794,"HoldTrim",0.6715048359427727,0.5,1.0,0.4,0.7564177934548304,0.3,0.42612235240738605,0.1,0.25413109838431813,0.8,0.0,0.3,,,,,0.6733477195558195,0.3,"Insurance - Life",
"COR",0,"Healthcare",18,36,25,26,"Included",33,39,4,573,1607,1308,1989,9687,31804,31421,30650,31026,"HoldTrim",0.18904399798899363,0.5,1.0,0.4,-0.11452087007642565,0.3,-0.34919948486734875,0.1,-0.18362835053268312,0.8,0.8,0.3,0.8,0.3,,,0.7866666666666666,0.3,"Medical Distribution",337
"ALL",0,"Financial Services",65,42,-34,24,"Included",43,37,4,156,922,397,203,4611,25383,25912,25014,22568,"HoldTrim",0.8369084758203708,0.5,1.0,0.4,0.9980109739368996,0.3,0.07845784473591677,0.1,-0.101255785322459,0.8,0.5999999999999999,0.3,,,,,1.0,0.3,"Insurance - Property & Casualty",
"EME",1,"Industrials",33,4,29,28,"Included",32,36,4,1147,2113,1702,842,4035,77662,80381,80233,76436,"HoldTrim",0.30144942293653854,0.5,0.006666666666666821,0.4,-0.46180678032529876,0.3,0.06327572539642468,0.1,0.2658931701040607,0.8,0.0,0.3,,,,,0.8833644082008898,0.3,"Engineering & Construction",286
"ECL",0,"Basic Materials",-22,29,36,27,"Included",33,36,4,890,2990,2122,785,2196,28163,27949,27552,27299,"HoldTrim",0.1166381775145141,0.5,0.5777777777777777,0.4,-0.860082304526749,0.3,-0.3440822270028875,0.1,-0.1348999894558763,0.8,1.0,0.3,,,,,1.0,0.3,"Specialty Chemicals",187
"ACGL",0,"Financial Services",36,28,-3,23,"Included",35,36,4,288,1018,619,145,1994,9939,9925,9856,9595,"HoldTrim",0.6125343931246262,0.5,1.0,0.4,1.0,0.3,-0.2491002600738258,0.1,-0.10552517736964948,0.8,1.0,0.3,,,,,0.6925431805657363,0.3,"Insurance - Diversified",
"VST",1,"Utilities",66,-75,41,44,"Included",33,35,4,1433,1314,1027,1522,4296,13621,14561,15034,16115,"HoldTrim",-0.2072198205285553,0.5,-0.6288888888888888,0.4,0.11454046639231823,0.3,0.3365107040557111,0.1,0.8541493050495557,0.8,-1.0,0.3,0.8,0.3,,,1.0,0.3,"Utilities - Independent Power Producers",8
"WFC",0,"Financial Services",1,24,28,37,"Included",30,35,4,920,1061,,158,1258,8384,8660,8556,8380,"HoldTrim",1.0,0.5,0.5111111111111111,0.4,0.9537037037037036,0.3,0.523123566128044,0.1,0.37691744084857426,0.8,0.0,0.3,,,,,1.0,0.3,"Banks - Diversified",
"FITB",0,"Financial Services",-4,41,25,27,"Included",30,35,4,923,1110,,154,844,5482,5667,5581,5127,"HoldTrim",0.4688888888888889,0.5,0.5044444444444445,0.4,0.9446502057613166,0.3,0.3578643781051247,0.1,0.15461167886809563,0.8,0.0,0.3,,,,,1.0,0.3,"Banks - Regional",
"JKHY",0,"Technology",19,29,33,-2,"Included",38,35,4,553,2120,1395,554,2357,16620,15589,15080,15449,"HoldTrim",0.23456790123456792,0.5,1.0,0.4,-0.3012933568489124,0.3,-0.7216207223118074,0.1,-0.6773712679356039,0.8,0.8,0.3,,,0.7,0.2,0.6688631199140622,0.3,"Information Technology Services",
"ELV",0,"Healthcare",23,18,24,19,"Included",32,35,4,692,1353,968,194,1113,40054,39384,39071,36284,"HoldTrim",0.06986342909169367,0.5,1.0,0.4,0.7017244757985497,0.3,-0.6873257567756438,0.1,-0.31508276619502296,0.8,1.0,0.3,0.8,0.3,,,0.5333333333333332,0.3,"Healthcare Plans",
"SNA",0,"Industrials",28,27,-14,22,"Included",33,35,4,723,1844,1416,337,1793,39339,40328,40013,37768,"HoldTrim",0.48056915086178226,0.5,0.9488888888888889,0.4,0.0651675485008818,0.3,0.2840248146969957,0.1,0.1570295672707315,0.8,0.0,0.3,,,,,0.7342822194083856,0.3,"Tools & Accessories",545
"EXE",1,"Energy",24,24,16,17,"Included",33,34,4,319,1082,377,116,1489,9609,9416,9306,9752,"HoldTrim",0.16110254364811147,0.5,1.0,0.4,1.0,0.3,-0.24473674218641395,0.1,0.007811696688977903,0.8,2.220446049250313E-16,0.3,,,,,1.0,0.3,"Oil & Gas E&P",659
